Rank|Name|Yr|Pos|G|Rec|Yards|Avg|TD|Rec/G|Yards/G|TeamID|Year
|Opponents|||7|158|1909|12.08|11|22.6|272.7|646|2017
1.0|Bryan Edwards|SO|WR|7|33|420|12.73|1|4.7|60.0|648|2017
2.0|Hayden Hurst|JR|TE|7|19|297|15.63|2|2.7|42.4|648|2017
3.0|Deebo Samuel|JR|WR|3|15|250|16.67|3|5.0|83.3|648|2017
4.0|Shi Smith|FR|WR|7|15|190|12.67|1|2.1|27.1|648|2017
5.0|OrTre Smith|FR|WR|7|12|153|12.75|3|1.7|21.9|648|2017
6.0|Rico Dowdle|SO|RB|7|8|96|12.00|1|1.1|13.7|648|2017
7.0|A.J. Turner|SO|RB|7|7|43|6.14|0|1.0|6.1|648|2017
8.0|Jacob August|JR|TE|7|4|42|10.50|0|0.6|6.0|648|2017
9.0|Randrecous Davis|FR|WR|6|3|32|10.67|0|0.5|5.3|648|2017
10.0|Ty'Son Williams|SO|RB|7|7|27|3.86|1|1.0|3.9|648|2017
11.0|Chad Terrell|FR|WR|7|3|20|6.67|0|0.4|2.9|648|2017
12.0|K.C. Crosby|JR|TE|6|2|11|5.50|0|0.3|1.8|648|2017
13.0|Kiel Pollard|SO|TE|7|1|4|4.00|0|0.1|0.6|648|2017
|Total|||7|129|1585|12.29|12|18.4|226.4|648|2017
|Opponents|||7|148|1626|10.99|6|21.1|232.3|648|2017
1.0|Marquez Valdes-Scantling|SR|WR|7|28|382|13.64|4|4.0|54.6|651|2017
2.0|Tyre McCants|JR|WR|7|11|203|18.45|3|1.6|29.0|651|2017
3.0|Darnell Salomon|SO|WR|6|13|182|14.00|2|2.2|30.3|651|2017
4.0|Deangelo Antoine|SO|WR|5|9|159|17.67|1|1.8|31.8|651|2017
5.0|Temi Alaka|SR|WR|7|7|121|17.29|1|1.0|17.3|651|2017
6.0|D'Ernest Johnson|SR|RB|7|6|78|13.00|1|0.9|11.1|651|2017
7.0|Mitchell Wilcox|SO|TE|7|10|74|7.40|0|1.4|10.6|651|2017
8.0|Elkanah Dillon|JR|TE|7|6|60|10.00|0|0.9|8.6|651|2017
9.0|DeVontres Dukes|FR|WR|5|3|32|10.67|0|0.6|6.4|651|2017
10.0|Jernard Phillips|FR|WR|5|1|13|13.00|0|0.2|2.6|651|2017
