Rank|Name|Yr|Pos|G|Att|Yards|Avg|TD|Att/G|Yards/G|TeamID|Year
6.0|Kenedy Snell|FR|RB|6|19|69|3.63|1|3.17|11.50|698|2017
7.0|Jalen Reagor|FR|WR|7|6|63|10.50|0|0.86|9.00|698|2017
8.0|KaVontae Turpin|JR|WR|7|5|56|11.20|1|0.71|8.00|698|2017
9.0|Grayson Muehlstein|JR|QB|2|3|25|8.33|0|1.50|12.50|698|2017
10.0|Shaun Nixon|JR|WR|7|4|13|3.25|0|0.57|1.86|698|2017
11.0|Desmon White|SR|WR|7|1|10|10.00|0|0.14|1.43|698|2017
12.0|Stacy Boyd|SR|RB|1|2|-2|-1.00|0|2.00|-2.00|698|2017
13.0|Team|||6|11|-37|-3.36|0|1.83|-6.17|698|2017
|Total|||7|293|1388|4.74|17|41.86|198.29|698|2017
|Opponents|||7|233|565|2.42|4|33.29|80.71|698|2017
1.0|Ryquell Armstead|JR|RB|8|104|428|4.12|3|13.00|53.50|690|2017
2.0|David Hood|JR|RB|8|60|254|4.23|2|7.50|31.75|690|2017
3.0|Rob Ritrovato|JR|RB|8|21|86|4.10|1|2.63|10.75|690|2017
4.0|Isaiah Wright|SO|WR|8|13|72|5.54|1|1.63|9.00|690|2017
5.0|Nick Sharga|SR|RB|8|19|51|2.68|1|2.38|6.38|690|2017
6.0|Jager Gardner|JR|RB|3|12|37|3.08|0|4.00|12.33|690|2017
7.0|Adonis Jennings|SR|WR|8|1|22|22.00|0|0.13|2.75|690|2017
8.0|Travon Williams|SO|WR|7|5|18|3.60|0|0.71|2.57|690|2017
9.0|Shaun Bradley|SO|LB|8|2|7|3.50|0|0.25|0.88|690|2017
10.0|Randle Jones|SO|WR|7|2|-2|-1.00|0|0.29|-0.29|690|2017
11.0|Team|||5|1|-2|-2.00|0|0.20|-0.40|690|2017
12.0|Frank Nutile|JR|QB|3|9|-2|-0.22|0|3.00|-0.67|690|2017
13.0|Todd Centeio|FR|QB|2|4|-2|-0.50|0|2.00|-1.00|690|2017
