3.0|Ross Trail|FR|QB|4|70|46|65.7|494|7.1|1|6|112.57|17.5|123.5|140|2016
4.0|Tyler Cogswell|JR|TE|12|1|1|100.0|29|29.0|1|0|673.6|0.1|2.4|140|2016
|Total|||12|453|259|57.2|3071|6.8|19|15|121.33|37.8|255.9|140|2016
|Opponents|||12|389|239|61.4|2799|7.2|18|17|128.41|32.4|233.3|140|2016
1.0|Deshaun Watson|JR|QB|15|579|388|67.0|4593|7.9|41|17|151.15|38.6|306.2|147|2016
2.0|Nick Schuessler|SR|QB|6|33|23|69.7|334|10.1|3|0|184.72|5.5|55.7|147|2016
3.0|Kelly Bryant|SO|QB|4|9|6|66.7|48|5.3|1|0|148.14|2.3|12.0|147|2016
4.0|Tucker Israel|FR|QB|2|4|4|100.0|25|6.3|0|0|152.5|2.0|12.5|147|2016
5.0|James Barnes|FR|QB|1|1|1|100.0|9|9.0|0|0|175.6|1.0|9.0|147|2016
6.0|Team|||11|3|0|0.0|0|0.0|0|0|0.0|0.3|0.0|147|2016
|Total|||15|629|422|67.1|5009|8.0|45|17|152.18|41.9|333.9|147|2016
|Opponents|||15|483|252|52.2|2728|5.6|13|20|100.21|32.2|181.9|147|2016
1.0|Sefo Liufau|SR|QB|12|319|200|62.7|2366|7.4|11|6|132.62|26.6|197.2|157|2016
2.0|Steven Montez|FR|QB|11|140|83|59.3|1078|7.7|9|5|138.05|12.7|98.0|157|2016
3.0|Bryce Bobo|JR|WR|13|1|1|100.0|67|67.0|1|0|992.8|0.1|5.2|157|2016
4.0|Jordan Gehrke|SR|QB|4|7|4|57.1|38|5.4|0|0|102.74|1.8|9.5|157|2016
5.0|Jay MacIntyre|SO|WR|14|2|1|50.0|14|7.0|0|0|108.8|0.1|1.0|157|2016
|Total|||14|469|289|61.6|3563|7.6|21|11|135.52|33.5|254.5|157|2016
|Opponents|||14|472|235|49.8|2710|5.7|18|15|104.25|33.7|193.6|157|2016
1.0|Nick Stevens|JR|QB|10|201|129|64.2|1936|9.6|19|5|171.3|20.1|193.6|156|2016
2.0|Collin Hill|FR|QB|6|129|75|58.1|1096|8.5|8|2|146.88|21.5|182.7|156|2016
3.0|Faton Bauta|SR|QB|10|29|12|41.4|114|3.9|1|0|85.78|2.9|11.4|156|2016
